EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-09-2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISRAEL, JERUSALEM CENTRAL (STAID: 132).
Blended and updated with sources: 100477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100477,19520122,    0,    0
100477,19520123,    0,    0
100477,19520124,    0,    0
100477,19520125,    0,    0
100477,19520126,    0,    0
100477,19520127,    0,    0
100477,19520128,    0,    0
100477,19520129,   57,    0
100477,19520130,   37,    0
100477,19520131,  342,    0
100477,19520201,  146,    0
100477,19520202,    0,    0
100477,19520203,    0,    0
100477,19520204,    0,    0
100477,19520205,    0,    0
100477,19520206,    4,    0
100477,19520207,    0,    0
100477,19520208,    0,    0
100477,19520209,  470,    0
100477,19520210,   18,    0
100477,19520211,    1,    0
100477,19520212,    0,    0
100477,19520213,    0,    0
100477,19520214,    0,    0
100477,19520215,    0,    0
100477,19520216,    0,    0
100477,19520217,    0,    0
100477,19520218,   30,    0
100477,19520219,  165,    0
100477,19520220,    1,    0
100477,19520221,    0,    0
100477,19520222,    0,    0
100477,19520223,    0,    0
100477,19520224,    0,    0
100477,19520225,    0,    0
100477,19520226,    4,    0
100477,19520227,   37,    0
100477,19520228,  244,    0
100477,19520229,  270,    0
100477,19520301,  130,    0
100477,19520302,    0,    0
100477,19520303,    0,    0
100477,19520304,    0,    0
100477,19520305,    0,    0
100477,19520306,    0,    0
100477,19520307,    0,    0
100477,19520308,  171,    0
100477,19520309,   72,    0
100477,19520310,   87,    0
100477,19520311,    0,    0
100477,19520312,    0,    0
100477,19520313,    0,    0
100477,19520314,    3,    0
100477,19520315,    7,    0
100477,19520316,   14,    0
100477,19520317,    0,    0
100477,19520318,    5,    0
100477,19520319,    7,    0
100477,19520320,   27,    0
100477,19520321,    2,    0
100477,19520322,    0,    0
100477,19520323,    0,    0
100477,19520324,    0,    0
100477,19520325,    0,    0
100477,19520326,    0,    0
100477,19520327,    0,    0
100477,19520328,    0,    0
100477,19520329,    0,    0
